,Row ID,Order ID,Order year,Order-month,Order day,Ship year,Ship-month,Ship day,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Category,Sub-Category,Product Name,Quantity,Sales,Discount,Profit
15,16,US-2015-118983,2015,Nov,22,2015,Nov,26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,3,2.544,0.8,-3.816
16,17,CA-2014-105893,2014,Nov,11,2014,Nov,18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",6,665.88,0.0,13.3176
17,18,CA-2014-167164,2014,May,13,2014,May,15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,Office Supplies,Storage,Fellowes Super Stor/Drawer,2,55.5,0.0,9.99
18,19,CA-2014-143336,2014,Aug,27,2014,Sep,1,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,Office Supplies,Art,Newell 341,2,8.56,0.0,2.4824
19,20,CA-2014-143336,2014,Aug,27,2014,Sep,1,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,Technology,Phones,Cisco SPA 501G IP Phone,3,213.48,0.2,16.011
20,21,CA-2014-143336,2014,Aug,27,2014,Sep,1,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",4,22.72,0.2,7.384
21,22,CA-2016-137330,2016,Dec,9,2016,Dec,13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,Office Supplies,Art,Newell 318,7,19.46,0.0,5.0596
22,23,CA-2016-137330,2016,Dec,9,2016,Dec,13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",7,60.34,0.0,15.6884
23,24,US-2017-156909,2017,Jul,16,2017,Jul,18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",2,71.372,0.3,-1.0196
24,25,CA-2015-106320,2015,Sep,25,2015,Sep,30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,3,1044.63,0.0,240.2649
25,26,CA-2016-121755,2016,Jan,16,2016,Jan,20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,Office Supplies,Binders,Wilson Jones Active Use Binders,2,11.648,0.2,4.2224
26,27,CA-2016-121755,2016,Jan,16,2016,Jan,20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,3,90.57,0.0,11.7741
27,28,US-2015-150630,2015,Sep,17,2015,Sep,21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",7,3083.43,0.5,-1665.0522
28,29,US-2015-150630,2015,Sep,17,2015,Sep,21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,2,9.618,0.7,-7.0532
29,30,US-2015-150630,2015,Sep,17,2015,Sep,21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",3,124.2,0.2,15.525
30,31,US-2015-150630,2015,Sep,17,2015,Sep,21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Envelopes,Poly String Tie Envelopes,2,3.264,0.2,1.1016
31,32,US-2015-150630,2015,Sep,17,2015,Sep,21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",6,86.304,0.2,9.7092
32,33,US-2015-150630,2015,Sep,17,2015,Sep,21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6,6.858,0.7,-5.715
33,34,US-2015-150630,2015,Sep,17,2015,Sep,21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Art,Lumber Crayons,2,15.76,0.2,3.546
34,35,CA-2017-107727,2017,Oct,19,2017,Oct,23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,Office Supplies,Paper,Easy-staple paper,3,29.472,0.2,9.9468
35,36,CA-2016-117590,2016,Dec,8,2016,Dec,10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,Technology,Phones,GE 30524EE4,7,1097.544,0.2,123.4737
36,37,CA-2016-117590,2016,Dec,8,2016,Dec,10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",5,190.92,0.6,-147.963
37,38,CA-2015-117415,2015,Dec,27,2015,Dec,31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",9,113.328,0.2,35.415
38,39,CA-2015-117415,2015,Dec,27,2015,Dec,31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",3,532.3992,0.32,-46.9764
39,40,CA-2015-117415,2015,Dec,27,2015,Dec,31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",3,212.058,0.3,-15.147
40,41,CA-2015-117415,2015,Dec,27,2015,Dec,31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Technology,Phones,Plantronics HL10 Handset Lifter,4,371.168,0.2,41.7564
41,42,CA-2017-120999,2017,Sep,10,2017,Sep,15,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,Technology,Phones,Panasonic Kx-TS550,4,147.168,0.2,16.5564
42,43,CA-2016-101343,2016,Jul,17,2016,Jul,22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",2,77.88,0.0,3.894
43,44,CA-2017-139619,2017,Sep,19,2017,Sep,23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",2,95.616,0.2,9.5616
44,45,CA-2016-118255,2016,Mar,11,2016,Mar,13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",2,45.98,0.0,19.7714
45,46,CA-2016-118255,2016,Mar,11,2016,Mar,13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,2,17.46,0.0,8.2062
46,47,CA-2014-146703,2014,Oct,20,2014,Oct,25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",4,211.96,0.0,8.4784
47,48,CA-2016-169194,2016,Jun,20,2016,Jun,25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3,45.0,0.0,4.95
48,49,CA-2016-169194,2016,Jun,20,2016,Jun,25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",2,21.8,0.0,6.104
49,50,CA-2015-115742,2015,Apr,18,2015,Apr,22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",6,38.22,0.0,17.9634
50,51,CA-2015-115742,2015,Apr,18,2015,Apr,22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Office Supplies,Labels,Avery 485,6,75.18,0.0,35.3346
51,52,CA-2015-115742,2015,Apr,18,2015,Apr,22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Furniture,Furnishings,Longer-Life Soft White Bulbs,2,6.16,0.0,2.9568
52,53,CA-2015-115742,2015,Apr,18,2015,Apr,22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Furniture,Chairs,"Global Leather Task Chair, Black",1,89.99,0.0,17.0981
53,54,CA-2016-105816,2016,Dec,11,2016,Dec,17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,Office Supplies,Fasteners,Advantus Push Pins,7,15.26,0.0,6.2566
54,55,CA-2016-105816,2016,Dec,11,2016,Dec,17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,Technology,Phones,AT&T CL83451 4-Handset Telephone,5,1029.95,0.0,298.6855
55,56,CA-2016-111682,2016,Jun,17,2016,Jun,18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,Office Supplies,Storage,Home/Office Personal File Carts,6,208.56,0.0,52.14
56,57,CA-2016-111682,2016,Jun,17,2016,Jun,18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,Office Supplies,Paper,Xerox 232,5,32.4,0.0,15.552
57,58,CA-2016-111682,2016,Jun,17,2016,Jun,18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,Furniture,Chairs,Novimex Turbo Task Chair,5,319.41,0.1,7.098
58,59,CA-2016-111682,2016,Jun,17,2016,Jun,18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",2,14.56,0.0,6.9888
59,60,CA-2016-111682,2016,Jun,17,2016,Jun,18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,2,30.0,0.0,3.3
60,61,CA-2016-111682,2016,Jun,17,2016,Jun,18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,Office Supplies,Binders,Plastic Binding Combs,4,48.48,0.2,16.362
61,62,CA-2016-111682,2016,Jun,17,2016,Jun,18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,Office Supplies,Art,Prang Dustless Chalk Sticks,1,1.68,0.0,0.84
62,63,CA-2015-135545,2015,Nov,24,2015,Nov,30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",2,13.98,0.0,6.1512
63,64,CA-2015-135545,2015,Nov,24,2015,Nov,30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",6,25.824,0.2,9.3612
64,65,CA-2015-135545,2015,Nov,24,2015,Nov,30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,Office Supplies,Paper,Xerox 1943,3,146.73,0.0,68.9631
65,66,CA-2015-135545,2015,Nov,24,2015,Nov,30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,4,79.76,0.0,22.3328
66,67,US-2015-164175,2015,Apr,30,2015,May,5,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",5,213.115,0.3,-15.2225
67,68,CA-2014-106376,2014,Dec,5,2014,Dec,10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",8,1113.024,0.2,111.3024
68,69,CA-2014-106376,2014,Dec,5,2014,Dec,10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,Technology,Phones,netTALK DUO VoIP Telephone Service,4,167.968,0.2,62.988
69,70,CA-2016-119823,2016,Jun,4,2016,Jun,6,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",2,75.88,0.0,35.6636
70,71,CA-2016-106075,2016,Sep,18,2016,Sep,23,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,1,4.616,0.2,1.731
71,72,CA-2017-114440,2017,Sep,14,2017,Sep,17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",3,19.05,0.0,8.763
72,73,US-2015-134026,2015,Apr,26,2015,May,2,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,Furniture,Chairs,High-Back Leather Manager's Chair,8,831.936,0.2,-114.3912
73,74,US-2015-134026,2015,Apr,26,2015,May,2,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",2,97.04,0.2,1.213
74,75,US-2015-134026,2015,Apr,26,2015,May,2,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,Office Supplies,Storage,Safco Industrial Wire Shelving System,1,72.784,0.2,-18.196
75,76,US-2017-118038,2017,Dec,9,2017,Dec,11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Office Supplies,Binders,Economy Binders,3,1.248,0.8,-1.9344
76,77,US-2017-118038,2017,Dec,9,2017,Dec,11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",3,9.708,0.6,-5.8248
77,78,US-2017-118038,2017,Dec,9,2017,Dec,11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",3,27.24,0.2,2.724
78,79,US-2014-147606,2014,Nov,26,2014,Dec,1,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",5,19.3,0.6,-14.475
79,80,CA-2016-127208,2016,Jun,12,2016,Jun,15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1,208.16,0.0,56.2032
80,81,CA-2016-127208,2016,Jun,12,2016,Jun,15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,3,16.74,0.0,8.0352
81,82,CA-2014-139451,2014,Oct,12,2014,Oct,16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",5,14.9,0.0,4.172
82,83,CA-2014-139451,2014,Oct,12,2014,Oct,16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",1,21.39,0.0,6.2031
83,84,CA-2015-149734,2015,Sep,3,2015,Sep,8,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,7,200.984,0.2,62.8075
84,85,US-2017-119662,2017,Nov,13,2017,Nov,16,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,Office Supplies,Storage,Safco Industrial Wire Shelving,3,230.376,0.2,-48.9549
85,86,CA-2017-140088,2017,May,28,2017,May,30,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,Furniture,Chairs,Novimex Swivel Fabric Task Chair,2,301.96,0.0,33.2156
86,87,CA-2017-155558,2017,Oct,26,2017,Nov,2,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,1,19.99,0.0,6.7966
87,88,CA-2017-155558,2017,Oct,26,2017,Nov,2,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Office Supplies,Labels,Avery 511,2,6.16,0.0,2.9568
88,89,CA-2016-159695,2016,Apr,5,2016,Apr,10,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,Office Supplies,Storage,Eldon Portable Mobile Manager,7,158.368,0.2,13.8572
89,90,CA-2016-109806,2016,Sep,17,2016,Sep,22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,3,20.1,0.0,6.633
90,91,CA-2016-109806,2016,Sep,17,2016,Sep,22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,Technology,Phones,Panasonic Kx-TS550,2,73.584,0.2,8.2782
91,92,CA-2016-109806,2016,Sep,17,2016,Sep,22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,Office Supplies,Paper,Xerox 1995,1,6.48,0.0,3.1104
92,93,CA-2015-149587,2015,Jan,31,2015,Feb,5,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Office Supplies,Paper,Xerox 1999,2,12.96,0.0,6.2208
93,94,CA-2015-149587,2015,Jan,31,2015,Feb,5,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",3,53.34,0.0,16.5354
94,95,CA-2015-149587,2015,Jan,31,2015,Feb,5,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Office Supplies,Binders,Ibico Standard Transparent Covers,2,32.96,0.0,16.1504
95,96,US-2017-109484,2017,Nov,6,2017,Nov,12,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,1,5.682,0.7,-3.788
96,97,CA-2017-161018,2017,Nov,9,2017,Nov,11,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,7,96.53,0.0,40.5426
97,98,CA-2017-157833,2017,Jun,17,2017,Jun,20,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,Office Supplies,Binders,Trimflex Flexible Post Binders,3,51.312,0.2,17.9592
98,99,CA-2016-149223,2016,Sep,6,2016,Sep,11,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,6,77.88,0.0,22.5852
99,100,CA-2016-158568,2016,Aug,29,2016,Sep,2,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,7,64.624,0.2,22.6184
100,101,CA-2016-158568,2016,Aug,29,2016,Sep,2,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,3,95.976,0.2,-10.7973
101,102,CA-2016-158568,2016,Aug,29,2016,Sep,2,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,3,1.788,0.8,-3.0396
102,103,CA-2016-129903,2016,Dec,1,2016,Dec,4,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),4,23.92,0.0,11.7208
103,104,US-2015-156867,2015,Nov,13,2015,Nov,17,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,6,238.896,0.2,-26.8758
104,105,US-2015-156867,2015,Nov,13,2015,Nov,17,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",3,102.36,0.2,-3.8385
105,106,US-2015-156867,2015,Nov,13,2015,Nov,17,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",3,36.882,0.7,-25.8174
106,107,CA-2017-119004,2017,Nov,23,2017,Nov,28,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,8,74.112,0.2,17.6016
107,108,CA-2017-119004,2017,Nov,23,2017,Nov,28,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,Technology,Phones,Speck Products Candyshell Flip Case,1,27.992,0.2,2.0994
108,109,CA-2017-119004,2017,Nov,23,2017,Nov,28,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,Office Supplies,Art,Newell Chalk Holder,1,3.304,0.2,1.0738
109,110,CA-2015-129476,2015,Oct,15,2015,Oct,20,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,Technology,Accessories,Logitech Gaming G510s - Keyboard,5,339.96,0.2,67.992
110,111,CA-2017-146780,2017,Dec,25,2017,Dec,30,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,Furniture,Furnishings,Magnifier Swing Arm Lamp,2,41.96,0.0,10.9096
111,112,CA-2016-128867,2016,Nov,3,2016,Nov,10,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",2,75.96,0.0,22.788
112,113,CA-2016-128867,2016,Nov,3,2016,Nov,10,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",6,27.24,0.0,13.3476
113,114,CA-2014-115259,2014,Aug,25,2014,Aug,27,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",14,40.096,0.2,14.5348
114,115,CA-2014-115259,2014,Aug,25,2014,Aug,27,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",2,4.72,0.2,1.652
115,116,CA-2014-115259,2014,Aug,25,2014,Aug,27,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,Office Supplies,Paper,Xerox 1921,3,23.976,0.2,7.4925
116,117,CA-2014-115259,2014,Aug,25,2014,Aug,27,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",6,130.464,0.2,44.0316
